case_submitter_id,M34__strict__signed_mean_z,M34__strict__canine_pca_weighted_z,M11__strict__signed_mean_z,M11__strict__canine_pca_weighted_z,M24__strict__signed_mean_z,M24__strict__canine_pca_weighted_z,M40__strict__signed_mean_z,M40__strict__canine_pca_weighted_z
TARGET-40-0A4I4O,-0.4633884695335025,-0.4798556909184758,1.0204721187785704,1.1284240711588065,-0.2456613472554418,-0.2973862832239743,1.268579073842903,1.3509891853718412
TARGET-40-0A4I5B,-1.8209717680507216,-1.762377051303791,1.0030622243259328,1.0559710432923424,0.2538078655717575,0.1913642783264168,1.3389845377521796,1.4145041414957258
TARGET-40-0A4I65,0.4168704128059665,0.407259608707411,-0.0622995366099943,-0.1066419430355986,0.1331780404408753,0.0954856219430647,0.5474525193204158,0.5134645425321486
TARGET-40-0A4I6O,0.5950539561642885,0.6119311574293377,1.1428451105306972,1.278363533640566,-0.5651308948242938,-0.5962405518819808,-0.7927333947745758,-0.7645741322322304
TARGET-40-0A4I8U,-0.1233276472802959,-0.165115013900863,-1.6730308660689546,-1.6627390364040404,-0.285651472492561,-0.2505059428465023,-0.3706222397588387,-0.6234884958240231
TARGET-40-0A4I9K,-0.8756396327357727,-0.803765050548001,-0.0867761739464996,-0.0394919915679807,-1.6248959124058708,-1.5749838667003275,-0.7426084130822619,-0.5743156453059767
TARGET-40-PAKFVX,0.9501413539063136,0.9057564031072298,-1.2503168676407987,-1.2320665698884157,-0.2895180374297639,-0.3367925973279621,-0.4345164948768805,-0.605011125230535
TARGET-40-PAKUZU,0.6255436926221167,0.6536751521397819,2.4123658734341578,2.35943755799288,-0.0241211663647186,-0.095656885744785,-0.5264429784464095,-0.6297837468988723
TARGET-40-PAKXLD,1.5904147847380703,1.6422613914344375,1.1670801931440222,1.1688265174833548,-0.6281003939010545,-0.6183728736314593,0.2501889605442695,0.1301882172441176
TARGET-40-PAKZZK,-0.238715084994366,-0.2659642242246741,0.1763510955309536,0.2289454511925642,0.0722012309783421,0.0457490183371087,-0.750931320154306,-0.7609995097531194
TARGET-40-PALECC,0.0370001819596675,0.0347562643056034,0.2560650270930393,0.2883237036256786,-1.6681701272438492,-1.6004214988905852,-0.5001789813590326,-0.4940300242010589
TARGET-40-PALFYN,-0.781276849463035,-0.8154682286486201,0.0349000028276453,0.0918715789810894,-0.0180633130577832,0.0100384775507743,-1.0146837241086857,-0.8410458766321902
TARGET-40-PALHRL,1.1492225095305522,1.0266769449058373,-0.7734143643181078,-0.7975648122259111,-0.6244069245503526,-0.5089177086448149,0.1128238742036046,0.0476058891512735
TARGET-40-PALKDP,0.7000518207123099,0.7747368519806944,-0.6154293582765987,-0.616656023974355,0.869517221116263,0.9365939671794352,1.1849717456565063,1.2799729928507355
TARGET-40-PALKGN,-0.1126776711222405,-0.213960238391132,0.2363946678185609,0.2703706632463115,0.2979780809477859,0.1677836825201747,-0.6134774818729519,-0.7008595973086644
TARGET-40-PALWWX,-0.0955775506133625,-0.1693055522205918,1.5167710331737283,1.610847103019468,0.795693720712076,0.8289211649935838,0.5791865942027615,0.678573800044057
TARGET-40-PALZGU,-0.6419322603912873,-0.6152558767432234,-0.098923534714542,-0.0771353461155137,-0.1757858400558672,-0.1981724441336673,1.4479536725762183,1.448210987636788
TARGET-40-PAMEKS,0.6935713446094418,0.7165349942293412,1.2735631618417964,1.2746703109874382,1.1009513959781323,1.0063518677341954,0.019918419523421,0.3362005701453828
TARGET-40-PAMHLF,-0.2213865327787627,-0.2007170656651458,-0.2634803979947217,-0.2145535934782332,-0.0848649347492153,-0.0954108852293852,0.3233499203021886,0.4032574135315778
TARGET-40-PAMHYN,0.0888904652174471,0.0215626159662961,0.1451924438100581,0.0547748592262154,0.4676842004715136,0.4962279806362691,-0.7051942210264736,-0.8078854251176167
TARGET-40-PAMJXS,-0.4643087211248815,-0.4278262939944586,-0.1418791927535284,-0.1135032706798187,1.2447999935439162,1.2298685571531995,1.2378001073302374,1.3880379351177472
TARGET-40-PAMLKS,2.333711688644335,2.193612988343465,-3.008593573106076,-3.044984836543644,-1.4004957379334655,-1.3359197403070715,0.4804998664972876,0.3096551109686767
TARGET-40-PAMRHD,-0.3748894837159141,-0.3509530948674407,0.9364569828794288,0.9164520347084104,-0.1209790561975472,-0.1676478248075051,0.0842042797344285,0.0053959844788218
TARGET-40-PAMTCM,1.9473531958788195,1.966158950885276,-0.8402899681566822,-0.784969390983416,-1.3760002230714352,-1.2857652523298762,1.2294827762873592,1.244658263461955
TARGET-40-PAMYYJ,0.056381210053839,0.0970057409932318,-0.3277392609279729,-0.3130526943320609,-0.4077490273371195,-0.4201833872971647,0.1717060499766834,0.1573795908115831
TARGET-40-PANGPE,-0.3052657183077731,-0.2945053388157773,0.509614121050696,0.5391313566768812,-0.1573524814619823,-0.2055647524001649,0.2691017978962393,0.3591940025057912
TARGET-40-PANGRW,0.4555765852801788,0.4199089534674051,-1.393200728799249,-1.3989432838139717,-0.2239548842805661,-0.157310339316749,-1.6304283724356263,-1.6652964216998292
TARGET-40-PANMIG,0.7245931962559414,0.6851067370860205,-0.4755922329332465,-0.4297517422904247,-0.3393152462197952,-0.3561468888051189,-1.4475263468194752,-1.3849572337944915
TARGET-40-PANPUM,0.4399050347545294,0.5168555033619109,-0.0929837030945343,-0.0388528625203181,0.2400104376014597,0.2190647614735987,0.6572672084529652,0.5708047346139445
TARGET-40-PANSEN,-0.2335324625709134,-0.2274221190091402,0.725724996912065,0.7145253315867288,0.37925820679628,0.3155988256875357,0.4219896097924968,0.4000210271659672
TARGET-40-PANVJJ,-0.4038164686297366,-0.3814449995690226,-0.3447779589051278,-0.303215090369353,1.2353914129028158,1.335293723640874,-0.6343629717362822,-0.533011431468948
TARGET-40-PANXSC,-0.8032199480054231,-0.8654421098493787,-0.7069586363361404,-0.689613973380014,3.030972461561451,3.2616811502105785,-0.6504995432992022,-0.6317988040328307
TARGET-40-PANZHX,-1.045833902505701,-1.0629831339488411,-0.7504470244299557,-0.6968457578958678,-0.4625021858497194,-0.5105046144546357,-0.2045072631307901,-0.0870341747773462
